Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.0,0.0,0.0,0.0,0,307,5,17
0.0,0.09826589595375722,0.05167173252279635,1.0,17,0,312,0
0.3312529347603283,0.09999999999999999,0.08695652173913043,0.11764705882352941,2,291,21,15
0.3972473157420367,0.11320754716981131,0.08333333333333333,0.17647058823529413,3,279,33,14
0.0,0.0,0.0,0.0,0,296,16,17
0.0,0.09826589595375722,0.05167173252279635,1.0,17,0,312,0
0.33068328182846596,0.09756097560975609,0.08333333333333333,0.11764705882352941,2,290,22,15
0.23463331039498206,0.05263157894736842,0.047619047619047616,0.058823529411764705,1,292,20,16
0.232615789620339,0.04651162790697675,0.038461538461538464,0.058823529411764705,1,287,25,16
0.0,0.0,0.0,0.0,0,305,7,17
