Gmean,F1,Precision,Recall,TP,TN,FP,FN
0.3624732559981062,0.10526315789473684,0.05555555555555555,1.0,7,18,119,0
0.0,0.0,0.0,0.0,0,120,17,7
0.3308912980041792,0.10294117647058823,0.05426356589147287,1.0,7,15,122,0
0.313079493981347,0.0392156862745098,0.022727272727272728,0.14285714285714285,1,94,43,6
0.0,0.0,0.0,0.0,0,76,61,7
0.46795096130874764,0.10434782608695652,0.05555555555555555,0.8571428571428571,6,35,102,1
0.14797908710009702,0.0945945945945946,0.04964539007092199,1.0,7,3,134,0
0.0,0.0,0.0,0.0,0,93,44,7
0.0,0.0,0.0,0.0,0,77,60,7
0.3063458145320982,0.03636363636363636,0.020833333333333332,0.14285714285714285,1,90,47,6
