Gmean,F1,Precision,Recall,TP,TN,FP,FN,P
0.9395629303032341,0.8826066123622425,0.8472861085556578,0.921,921,3834,166,79,0.04
0.9462804816754914,0.8911174785100286,0.8528336380255942,0.933,933,3839,161,67,0.04
0.9401263212994305,0.8796956728483118,0.8386219401631912,0.925,925,3822,178,75,0.04
0.9441424680629508,0.8874045801526718,0.8485401459854015,0.93,930,3834,166,70,0.04
0.9402144702141103,0.8824091778202677,0.8452380952380952,0.923,923,3831,169,77,0.04
0.9416016939237101,0.873015873015873,0.818739054290718,0.935,935,3793,207,65,0.04
0.9331854049437336,0.8936595107338992,0.8923230309072782,0.895,895,3892,108,105,0.04
0.930907621625261,0.8711538461538462,0.8388888888888889,0.906,906,3826,174,94,0.04
0.9391940694020593,0.8718911309244487,0.8213969938107869,0.929,929,3798,202,71,0.04
0.9383176434449051,0.8701359587435538,0.8190644307149162,0.928,928,3795,205,72,0.04
0.9190408043171967,0.8650246305418718,0.8524271844660194,0.878,878,3848,152,122,0.02
0.9169507893011489,0.7998289136013687,0.6988041853512705,0.935,935,3597,403,65,0.02
0.9274933962029056,0.8527349228611502,0.800702370500439,0.912,912,3773,227,88,0.02
0.9246078898646712,0.8362147406733395,0.7671118530884808,0.919,919,3721,279,81,0.02
0.9160075054277667,0.855609756097561,0.8352380952380952,0.877,877,3827,173,123,0.02
0.938070359834485,0.869320843091335,0.8176211453744493,0.928,928,3793,207,72,0.02
0.9095397187588895,0.8686765457332654,0.8881922675026124,0.85,850,3893,107,150,0.02
0.9199354596926895,0.8592233009708737,0.8349056603773585,0.885,885,3825,175,115,0.02
0.9276171085097558,0.8599905078310395,0.8184281842818428,0.906,906,3799,201,94,0.02
0.9264378014740116,0.853784673248707,0.805678793256433,0.908,908,3781,219,92,0.02
0.8955071188996768,0.8364182091045522,0.8368368368368369,0.836,836,3837,163,164,0.01
0.8750774251459125,0.8321863419798836,0.8841394825646794,0.786,786,3897,103,214,0.01
0.8933789789333528,0.7926940639269406,0.7294117647058823,0.868,868,3678,322,132,0.01
0.8889741278574984,0.8346055979643766,0.8497409326424871,0.82,820,3855,145,180,0.01
0.8934497747495378,0.8371154815935451,0.844354018311292,0.83,830,3847,153,170,0.01
0.8959384744501153,0.8190567853705486,0.7894248608534323,0.851,851,3773,227,149,0.01
0.867343069379124,0.8086866597724922,0.8372591006423983,0.782,782,3848,152,218,0.01
0.9001627630601035,0.8534966819806024,0.8717413972888426,0.836,836,3877,123,164,0.01
0.8965835153514702,0.8200192492781521,0.7903525046382189,0.852,852,3774,226,148,0.01
0.9039297539079019,0.8167832167832166,0.7650655021834061,0.876,876,3731,269,124,0.01
0.8308634063430643,0.7581151832460732,0.7956043956043956,0.724,724,3814,186,276,0.005
0.8666948713359275,0.7390542907180384,0.6573208722741433,0.844,844,3560,440,156,0.005
0.8380698061617541,0.7657142857142858,0.7967567567567567,0.737,737,3812,188,263,0.005
0.8340007494001429,0.7652631578947368,0.8077777777777778,0.727,727,3827,173,273,0.005
0.7716994233508278,0.6673618352450469,0.6971677559912854,0.64,640,3722,278,360,0.005
0.8176811725850118,0.6904211013419713,0.6425495262704565,0.746,746,3585,415,254,0.005
0.8727069955030726,0.784785748675975,0.7567316620241411,0.815,815,3738,262,185,0.005
0.8376268560642024,0.7820927723840345,0.8489461358313818,0.725,725,3871,129,275,0.005
0.8471339917628143,0.7704834605597964,0.7844559585492228,0.757,757,3792,208,243,0.005
0.8446596947883804,0.7698616094310611,0.7896950578338591,0.751,751,3800,200,249,0.005
