Gmean,F1,Precision,Recall,TP,TN,FP,FN,P
0.958749706649238,0.9587809143142644,0.9580629056415377,0.9595,1919,1916,84,81,0.04
0.9569979101335593,0.9569138276553106,0.9588353413654619,0.955,1910,1918,82,90,0.04
0.9672484169022971,0.9671925870272977,0.9688911189162067,0.9655,1931,1938,62,69,0.04
0.9629936396467009,0.9628700451580532,0.9662638469284995,0.9595,1919,1933,67,81,0.04
0.9634979242323255,0.9635728542914171,0.9616533864541833,0.9655,1931,1923,77,69,0.04
0.9635,0.9635,0.9635,0.9635,1927,1927,73,73,0.04
0.9652473776188154,0.9653280119730606,0.9631657541065206,0.9675,1935,1926,74,65,0.04
0.9634994810585007,0.9635364635364635,0.9625748502994012,0.9645,1929,1925,75,71,0.04
0.9649967616525975,0.9649122807017544,0.9673366834170855,0.9625,1925,1935,65,75,0.04
0.9642427080356896,0.9643835616438355,0.9607940446650124,0.968,1936,1921,79,64,0.04
0.9614530669772705,0.9611307420494699,0.9704383282364933,0.952,1904,1942,58,96,0.02
0.9549743452051473,0.9546827794561933,0.9614604462474645,0.948,1896,1924,76,104,0.02
0.9549869109050657,0.9547738693467336,0.9595959595959596,0.95,1900,1920,80,100,0.02
0.9527326487530486,0.9530201342281879,0.9476025704399407,0.9585,1917,1894,106,83,0.02
0.9639579866363471,0.9636730575176589,0.9725050916496945,0.955,1910,1946,54,90,0.02
0.9564979090411019,0.9564128256513026,0.9583333333333334,0.9545,1909,1917,83,91,0.02
0.9616654823793979,0.9612560141808052,0.9738327347357619,0.949,1898,1949,51,102,0.02
0.9593978580338817,0.9589249492900609,0.9727366255144033,0.9455,1891,1947,53,109,0.02
0.9587100708764876,0.9583858764186632,0.9669211195928753,0.95,1900,1935,65,100,0.02
0.9552491821509193,0.9553058676654181,0.9541147132169576,0.9565,1913,1908,92,87,0.02
0.9436644000914732,0.9423325575381433,0.9758971612212105,0.911,1822,1955,45,178,0.01
0.9479525304570898,0.9469910371318822,0.9706036745406824,0.9245,1849,1944,56,151,0.01
0.9436644000914732,0.9423325575381433,0.9758971612212105,0.911,1822,1955,45,178,0.01
0.9449063445654283,0.9436109674081739,0.977491961414791,0.912,1824,1958,42,176,0.01
0.9462005601351121,0.9449754585378455,0.977552111170497,0.9145,1829,1958,42,171,0.01
0.9461944831798588,0.9456933569083102,0.9555895865237366,0.936,1872,1913,87,128,0.01
0.9443700281139803,0.9430346970481616,0.9779806659505907,0.9105,1821,1959,41,179,0.01
0.9499405244540313,0.9490135792979759,0.9732002101944298,0.926,1852,1949,51,148,0.01
0.9511168435055706,0.9501541623843783,0.9772727272727273,0.9245,1849,1957,43,151,0.01
0.9473536826338936,0.9461139896373058,0.9817204301075269,0.913,1826,1966,34,174,0.01
0.9350569501372631,0.9330884282340594,0.9817780231916069,0.889,1778,1967,33,222,0.005
0.9293653748660965,0.9270476692125361,0.9794101279910963,0.88,1760,1963,37,240,0.005
0.9313133199949414,0.9290798839968364,0.9827105409927496,0.881,1762,1969,31,238,0.005
0.9268397919813327,0.9242985706723135,0.9820022497187851,0.873,1746,1968,32,254,0.005
0.9318154323684492,0.9296956977964322,0.977924944812362,0.886,1772,1960,40,228,0.005
0.9341303442239739,0.9321456641341368,0.9790864061640066,0.8895,1779,1962,38,221,0.005
0.9216174640272395,0.9189046866771986,0.9705228031145717,0.8725,1745,1947,53,255,0.005
0.934046840367227,0.9322957198443579,0.9687331536388141,0.8985,1797,1942,58,203,0.005
0.9306308344343637,0.9283833596629805,0.9805339265850945,0.8815,1763,1965,35,237,0.005
0.9352496992782195,0.9352014010507881,0.9359038557836755,0.9345,1869,1872,128,131,0.005
